change_id	batch_id	date	episode	start	end	category	severity	before	after	source_ref	rationale	status	agent	reviewer
SH0001-MIG-0001	SH0001-MIG-20260826	2026-08-26	ALL			documentation	P3	旧工程目录与阶段性备份	标准化工程、工作区与 1.0.0 成品档案	project/archive/SH0001-historical-documents-20260826.manifest.tsv	建立可追溯仓库基线	verified	Codex	unassigned
SH0001-DOC-0001	SH0001-DOC-20260826	2026-08-26	ALL			documentation	P3	项目文档分散在 workspace、reviews、pipeline、sources 和 release 子目录	项目人工可读文档集中到项目 docs	根目录 docs/project-documentation.md	降低 AI agent 读取遗漏并统一进度与台账入口	verified	Codex	unassigned
SH0001-DOC-0002	SH0001-DOC-20260826-TIMING	2026-08-26	ALL			documentation	P3	内嵌时间轴优先，普通数值检测只生成候选	保留内嵌轨优先原则，并明确非法、非预期重叠、明显不可读或严重不同步时必须按全局纠错底线局部修正	根目录 docs/timing-and-layout.md#4-内嵌时间轴纠错底线	防止以内嵌来源为由保留严重时间轴问题，同时避免机械批量改轴	verified	Codex	unassigned
SH0001-DOC-0003	SH0001-DOC-20260826-WORKSPACE	2026-08-26	ALL			documentation	P3	项目专用脚本、旧 pipeline、未审产物和历史审查资料缺少统一生命周期	建立 episodes、temp、build、archive 分层；39 个 legacy 文件经清单和哈希验证后压缩归档	根目录 docs/workspace-and-artifacts.md；project/archive/SH0001-legacy-engineering-20260826.manifest.tsv	允许各项目使用不同临时工具，同时集中清理范围并保留历史可追溯性	verified	Codex	unassigned
SH0001-DOC-0004	SH0001-DOC-20260826-CONTROL	2026-08-26	ALL			documentation	P3	项目规范、当前进度和面向开发者的历史报告并列，AI agent 可能混用旧结论	建立五文件 AI agent 控制面；开发者审核报告改为 workspace/temp/review 临时反馈文件；3 份旧根层文档压缩归档	根目录 docs/project-documentation.md；docs/README.md；project/archive/SH0001-historical-documents-20260826.manifest.tsv	分离长期开发基准与临时人工审核材料，确保反馈最终回写规范、进度和台账	verified	Codex	unassigned
SH0001-DOC-0005	SH0001-DOC-20260826-REPORT-CLEANUP	2026-08-26	ALL			documentation	P3	docs/reports 保留旧质量报告且 1.0.0 元数据以 manual_review passed 笼统引用	将旧质量报告并入历史文档压缩档案，删除 docs/reports，并把发布元数据改为 machine historical-full、human candidate-only	project/archive/SH0001-historical-documents-20260826.manifest.tsv	彻底分离 AI agent 控制面、开发者临时审核面和历史档案，并如实记录审核覆盖	verified	Codex	unassigned
SH0001-REL-0001	SH0001-REL-20260826-STABLE-PATH	2026-08-26	ALL			release	P3	版本号目录、中文语种后缀和六份散落发布/来源元数据	稳定 current 路径、目录内 VERSION、ASS 内版本标记、强制 previous 目录轮换、BCP 47 文件名、单一 project.yaml 和自动生成 ZIP	docs/release-and-packaging.md；project.yaml	减少版本更新的路径与元数据牵连，同时提供单版本回滚和可验证下载包	verified	Codex	unassigned
SH0001-DOC-0006	SH0001-DOC-20260826-IDENTITY-TERMS	2026-08-26	ALL			documentation	P3	外部 ID 未完整核验且项目规范重复保存系列固定术语	补齐 IMDb tt2496120 与 Bangumi 54552，豆瓣保留为用户提供的可选映射；系列术语上移至 series-guide.md	docs/project-identity.md；docs/series-terminology.md；works/space-battleship-yamato/series-guide.md	让包名直接继承 IMDb 身份，并为后续 2202 等项目共享统一译名	verified	Codex	unassigned
SH0001-V101-TERM-0001	SH0001-V1.0.1-TERMS	2026-08-26	S01E02	0:09:05.41	0:09:07.76	terminology	P2	技术课 真田四郎	技术课 真田志郎	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0015	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0002	SH0001-V1.0.1-TERMS	2026-08-26	S01E05	0:02:23.95	0:02:26.42	terminology	P2	迪斯拉万岁！总统万岁！	德斯拉万岁！总统万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0003	SH0001-V1.0.1-TERMS	2026-08-26	S01E05	0:08:32.05	0:08:36.63	terminology	P2	我方也拥有根据次元波动理论制造的波动护盾这一盾牌	我方也拥有根据次元波动理论制造的波动防御壁这一盾牌	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0004	SH0001-V1.0.1-TERMS	2026-08-26	S01E06	0:02:38.72	0:02:43.18	terminology	P2	{\fad(500,1000)\pos(954,907)}迪斯拉总统府	{\fad(500,1000)\pos(954,907)}德斯拉总统府	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0005	SH0001-V1.0.1-TERMS	2026-08-26	S01E06	0:04:25.22	0:04:28.14	terminology	P2	迪斯拉万岁！总统万岁！	德斯拉万岁！总统万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0006	SH0001-V1.0.1-TERMS	2026-08-26	S01E06	0:04:59.13	0:05:02.32	terminology	P2	司令 迪斯拉总统到底作何表示？	司令 德斯拉总统到底作何表示？	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0007	SH0001-V1.0.1-TERMS	2026-08-26	S01E06	0:10:27.16	0:10:30.17	terminology	P2	水手长 波动护盾情况如何？	水手长 波动防御壁情况如何？	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0008	SH0001-V1.0.1-TERMS	2026-08-26	S01E06	0:13:19.88	0:13:25.13	terminology	P2	怎么办已经向迪斯拉总统报告过了	怎么办已经向德斯拉总统报告过了	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0009	SH0001-V1.0.1-TERMS	2026-08-26	S01E06	0:15:32.59	0:15:33.31	terminology	P2	分析器！	分析士！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0021	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0010	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:02:17.11	0:02:19.03	terminology	P2	迪斯拉总统万岁	德斯拉总统万岁	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
